"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2013"
"Location","White","Black","Hispanic","American Indian/Alaska Native","Asian","Native Hawaiian/Other Pacific Islander","Two Or More Races","Total",Footnotes
"United States","192379500","37122600","52764900","2008700","15505700","448800","7275400","307505500","1"
"Alabama","3136100","1232900","184500","17900","53500","N/A","79400","4705800"
"Alaska","441000","23600","44100","97400","35500","9800","53800","705100"
"Arizona","3675000","249900","1951200","250800","186000","8400","144400","6465700"
"Arkansas","2116100","442400","197600","16200","35000","N/A","60400","2868600"
"California","14572300","2061400","14441900","131100","5083300","123000","1098300","37511300"
"Colorado","3558300","183600","1079700","23200","147000","5500","132900","5130200"
"Connecticut","2419300","333500","508100","3900","141500","N/A","72200","3479000"
"Delaware","577900","184300","79600","2800","33700","N/A","19900","898500"
"District of Columbia","214500","296700","63500","N/A","19100","N/A","15600","610300"
"Florida","10748400","2897800","4549700","39300","489900","7800","360400","19093200"
"Georgia","5316200","2948800","876600","16400","342400","3100","187300","9690900"
"Hawaii","289000","20400","127800","N/A","509500","118900","264700","1331500"
"Idaho","1317000","7000","186300","15800","24700","N/A","29000","1580900"
"Illinois","7898400","1739200","2081000","14500","613000","2400","222600","12571100"
"Indiana","5138600","557200","410400","8100","114400","N/A","134600","6366500"
"Iowa","2619700","95100","162100","6600","58900","N/A","45100","2990300"
"Kansas","2162900","156400","311400","19600","67100","N/A","77800","2796500"
"Kentucky","3664400","325700","134500","7600","49900","N/A","77200","4260900"
"Louisiana","2684600","1427300","207900","24600","71700","N/A","66300","4483200"
"Maine","1215800","12400","16200","7600","12800","N/A","26800","1291900"
"Maryland","3067400","1665700","522900","13800","344600","N/A","151400","5767500"
"Massachusetts","4828400","404300","680700","8100","363500","N/A","165300","6451500"
"Michigan","7363300","1312200","455000","41400","258400","N/A","231900","9664300"
"Minnesota","4334600","280900","255900","55400","235500","N/A","124200","5287800"
"Mississippi","1664000","1085700","72800","10500","27400","N/A","28500","2889200"
"Missouri","4719900","655700","220500","19100","96400","N/A","137800","5853100"
"Montana","861800","N/A","31200","63200","6700","N/A","20700","986300"
"Nebraska","1465800","83600","179700","10900","32200","N/A","38700","1811200"
"Nevada","1432400","216800","756500","23900","212300","17700","85800","2745400"
"New Hampshire","1174500","10000","40100","2300","30800","N/A","23000","1280700"
"New Jersey","5011800","1082400","1658100","8900","782300","N/A","172500","8716900"
"New Mexico","803000","33400","964500","177200","25500","N/A","35400","2040200"
"New York","10889900","2716400","3525400","45900","1504300","5800","431900","19119600"
"North Carolina","6141200","2001700","839000","102800","233400","N/A","201300","9522500"
"North Dakota","606300","11100","15800","38500","7000","N/A","14400","693500"
"Ohio","9063000","1329300","366300","12300","203100","3400","262200","11239600"
"Oklahoma","2521400","260100","357200","286800","62900","N/A","237700","3726900"
"Oregon","2985100","62000","473500","36000","149900","14400","130800","3851600"
"Pennsylvania","9704800","1283000","771900","13200","364900","N/A","205100","12344300"
"Rhode Island","751900","52000","139200","3800","29800","N/A","31400","1008600"
"South Carolina","2964300","1254800","242000","13200","60900","N/A","78300","4616200"
"South Dakota","678900","13100","25900","66400","8200","N/A","19200","811600"
"Tennessee","4741900","1051300","303200","14200","93100","2700","112300","6318700"
"Texas","11329100","2922400","9947800","58900","1065300","16500","433100","25773000"
"Utah","2267600","26900","380000","28200","63400","24300","58900","2849400"
"Vermont","567200","6000","9000","1600","8000","N/A","10900","602700"
"Virginia","5067700","1479900","680500","12900","471600","5200","228000","7945700"
"Washington","4827300","230900","810500","78200","525000","39800","285900","6797800"
"West Virginia","1676500","53600","21900","N/A","10000","N/A","33800","1798200"
"Wisconsin","4620800","332800","354300","44100","135800","N/A","103000","5592500"
"Wyoming","482300","7200","49700","10200","4600","N/A","13000","567300"
"Puerto Rico","21500","2100","3550700","N/A","N/A","N/A","6300","3582000"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
